,ZIP CODE,2016,2017,2018,2019
0,11001,0.0,0.0,0.0,0.0
1,11004,2.0,0.0,6.0,2.0
2,11005,0.0,2.0,0.0,0.0
3,1104,0.0,0.0,0.0,0.0
4,11101,2.0,6.0,0.0,4.0
5,11102,2.0,0.0,0.0,0.0
6,11103,0.0,0.0,0.0,0.0
7,11104,0.0,2.0,0.0,0.0
8,11105,2.0,0.0,2.0,0.0
9,11106,4.0,6.0,0.0,2.0
10,11109,0.0,0.0,0.0,0.0
11,11201,2.0,0.0,2.0,0.0
12,11203,2.0,0.0,0.0,0.0
13,11204,0.0,2.0,4.0,0.0
14,11205,0.0,0.0,2.0,0.0
15,11206,0.0,4.0,8.0,8.0
16,11207,10.0,0.0,8.0,4.0
17,11208,4.0,2.0,4.0,4.0
18,11209,0.0,0.0,2.0,4.0
19,1121,0.0,0.0,2.0,0.0
20,11211,0.0,0.0,0.0,6.0
21,11212,4.0,3.0,2.0,4.0
22,11213,2.0,4.0,2.0,2.0
23,11214,4.0,4.0,6.0,4.0
24,11215,2.0,2.0,4.0,4.0
25,11216,0.0,0.0,0.0,2.0
26,11217,2.0,2.0,0.0,2.0
27,11218,2.0,6.0,4.0,8.0
28,11219,2.0,0.0,0.0,0.0
29,1122,2.0,0.0,2.0,6.0
30,11221,2.0,2.0,2.0,0.0
31,11222,0.0,4.0,0.0,4.0
32,11223,4.0,4.0,2.0,4.0
33,11224,0.0,0.0,0.0,0.0
34,11225,0.0,0.0,0.0,0.0
35,11226,0.0,2.0,0.0,4.0
36,11228,0.0,4.0,2.0,2.0
37,11229,5.0,8.0,2.0,4.0
38,1123,0.0,0.0,0.0,4.0
39,11231,0.0,0.0,0.0,0.0
40,11232,2.0,0.0,4.0,6.0
41,11233,6.0,8.0,2.0,6.0
42,11234,0.0,4.0,2.0,10.0
43,11235,4.0,2.0,2.0,6.0
44,11236,5.0,10.0,4.0,10.0
45,11237,0.0,4.0,4.0,0.0
46,11238,2.0,0.0,0.0,0.0
47,11239,0.0,0.0,0.0,0.0
48,11241,,0.0,,
49,11242,0.0,0.0,,
50,11249,2.0,0.0,0.0,0.0
51,11251,0.0,,,
52,11354,4.0,8.0,10.0,2.0
53,11355,0.0,4.0,2.0,2.0
54,11356,2.0,0.0,2.0,0.0
55,11357,2.0,0.0,2.0,0.0
56,11358,0.0,0.0,2.0,0.0
57,11359,0.0,0.0,0.0,0.0
58,1136,0.0,0.0,0.0,0.0
59,11361,0.0,0.0,0.0,2.0
60,11362,0.0,0.0,0.0,2.0
61,11363,0.0,0.0,0.0,0.0
62,11364,0.0,0.0,0.0,0.0
63,11365,0.0,0.0,0.0,0.0
64,11366,0.0,0.0,4.0,0.0
65,11367,0.0,0.0,6.0,2.0
66,11368,2.0,0.0,4.0,2.0
67,11369,0.0,4.0,0.0,2.0
68,1137,0.0,0.0,0.0,2.0
69,11372,4.0,2.0,6.0,2.0
70,11373,3.0,0.0,4.0,4.0
71,11374,0.0,6.0,2.0,2.0
72,11375,2.0,4.0,2.0,0.0
73,11377,0.0,2.0,2.0,4.0
74,11378,0.0,4.0,0.0,4.0
75,11379,0.0,2.0,0.0,2.0
76,11385,6.0,0.0,6.0,8.0
77,11411,2.0,0.0,0.0,2.0
78,11412,0.0,0.0,2.0,2.0
79,11413,0.0,0.0,2.0,2.0
80,11414,0.0,2.0,6.0,0.0
81,11415,0.0,4.0,0.0,0.0
82,11416,0.0,0.0,0.0,0.0
83,11417,2.0,2.0,0.0,0.0
84,11418,0.0,0.0,4.0,0.0
85,11419,4.0,2.0,2.0,0.0
86,1142,6.0,4.0,2.0,2.0
87,11421,0.0,2.0,4.0,2.0
88,11422,2.0,0.0,0.0,6.0
89,11423,0.0,4.0,0.0,0.0
90,11426,0.0,0.0,2.0,0.0
91,11427,0.0,0.0,0.0,0.0
92,11428,0.0,2.0,0.0,0.0
93,11429,2.0,0.0,4.0,0.0
94,1143,0.0,0.0,0.0,0.0
95,11432,0.0,2.0,4.0,0.0
96,11433,0.0,0.0,4.0,2.0
97,11434,2.0,2.0,4.0,4.0
98,11435,0.0,0.0,2.0,2.0
99,11436,0.0,0.0,0.0,0.0
100,11691,2.0,2.0,0.0,4.0
101,11692,2.0,0.0,2.0,0.0
102,11693,0.0,0.0,0.0,4.0
103,11694,0.0,0.0,0.0,0.0
104,11695,,0.0,,
105,11697,0.0,0.0,0.0,0.0
106,nan,0.0,0.0,0.0,0.0
